num;split;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
57;1;1;57_1;3;2;3;1;5;;;;;;;;1;2;5;2;1;2;1;1;3;3;4;1;4;2
137;1;1;137_1;2;1;3;1;3;;;;;;;;4;1;6;4;1;4;2;2;5;4;1;3;6;2
157;1;1;157_1;2;1;4;1;3;;;;;;;;2;2;6;4;1;6;2;2;4;2;2;2;7;2
259;1;1;259_1;1;2;4;1;15;;;;;;;;2;3;3;2;3;2;2;3;2;2;2;2;2;2
263;1;1;263_1;3;1;5;1;8;;;;;;;;2;2;7;2;2;2;2;2;2;2;2;2;7;2
287;1;1;287_1;2;2;3;1;15;;;;;;;;2;2;6;2;1;1;1;1;6;2;2;2;2;2
297;1;1;297_1;3;2;3;4;12;;;;;;;;2;2;7;7;2;2;2;2;7;7;7;2;7;2
467;1;1;467_1;3;2;4;1;3;;;;;;;;3;5;5;4;1;5;1;2;5;1;2;1;4;2
549;1;2;7_2;25;2;;;;3;6;;;;;;3;4;4;3;3;4;4;4;3;4;4;3;2;2
555;1;2;13_2;26;2;;;;1;7;;;;;;3;1;3;3;2;3;4;4;3;2;3;2;2;2
731;1;3;111_3;45 à 54 ans;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;2;2;2;2;3;3;2;2;3;3;3;2;3;2
817;1;4;55_4;2;1;4;;;;;;;;;;4;4;5;4;4;6;3;2;4;4;3;2;6;2
987;1;6;11_6;;2;5;;;;;1;1;1;2;1;3;3;3;3;2;3;3;4;3;3;3;2;2;2
1003;1;6;27_6;22;2;5;;;;;1;1;1;2;1;5;3;3;2;2;4;2;2;2;2;2;3;2;2
1077;1;6;101_6;20;2;5;;;;;1;1;1;2;1;5;4;3;2;5;4;5;3;2;3;2;4;2;2
