num;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
242;1;242_1;2;1;4;1;2;;;;;;;;2;1;5;3;1;4;2;1;4;3;4;2;3;1
508;1;508_1;3;2;3;1;8;;;;;;;;4;3;3;3;2;2;1;2;2;2;2;1;2;1
640;3;20_3;25 à 34 ans;Femme;Maîtrise (études universitaires de 2e cycle);;10 ans et plus;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
696;3;76_3;;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;2;2;2;2;4;2;1;1;1;1;1;3;1;1
706;3;86_3;35 à 44 ans;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;1;1;1;2;1;2;1;1;1;1;1;2;1;1
990;6;14_6;35;2;6;;;;;2;3;2;;1;1;1;1;1;1;1;1;1;4;1;1;4;1;1
1164;6;188_6;20;2;6;;;;;1;1;1;2;1;5;4;4;4;3;3;1;4;3;1;2;2;1;1
96;1;96_1;3;1;3;1;16;;;;;;;;2;4;6;5;2;7;1;3;6;6;3;2;7;2
108;1;108_1;2;1;3;1;2;;;;;;;;2;4;7;5;3;4;2;2;6;6;3;2;7;2
150;1;150_1;3;1;3;1;4;;;;;;;;2;2;5;4;2;4;2;2;2;2;2;2;3;2
162;1;162_1;2;2;3;1;8;;;;;;;;5;4;5;4;3;4;2;2;5;2;3;2;4;2
178;1;178_1;2;1;4;1;5.5;;;;;;;;3;6;6;6;3;6;3;2;6;6;6;2;6;2
222;1;222_1;3;1;4;1;3;;;;;;;;2;4;5;3;3;5;4;2;6;7;6;1;6;2
244;1;244_1;2;1;3;1;75;;;;;;;;1;2;4;6;2;3;1;2;2;2;2;2;5;2
256;1;256_1;3;1;3;1;5;;;;;;;;2;4;5;2;3;4;2;3;5;3;3;3;4;2
